"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 17 17:32:21 GMT 2024","Mon Jun 17 17:32:22 GMT 2024","1464","CrossBrowser Test Suite","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Mon Jun 17 17:32:32 GMT 2024","Mon Jun 17 17:32:32 GMT 2024","0","CrossBrowser Test Suite","ChromeTest","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Mon Jun 17 17:32:28 GMT 2024","Mon Jun 17 17:32:32 GMT 2024","3188","CrossBrowser Test Suite","ChromeTest","com.luma.test.ProductPageTest","com.luma.test.ProductPageTest","testProduct","TC-02 Testing 1 Product","TC-02 Testing 1 Product"
"passed","Mon Jun 17 17:32:23 GMT 2024","Mon Jun 17 17:32:24 GMT 2024","1586","CrossBrowser Test Suite","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Mon Jun 17 17:32:31 GMT 2024","Mon Jun 17 17:32:31 GMT 2024","0","CrossBrowser Test Suite","ChromiumTest","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Mon Jun 17 17:32:17 GMT 2024","Mon Jun 17 17:32:19 GMT 2024","1676","CrossBrowser Test Suite","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Mon Jun 17 17:32:24 GMT 2024","Mon Jun 17 17:32:26 GMT 2024","1632","CrossBrowser Test Suite","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Mon Jun 17 17:32:27 GMT 2024","Mon Jun 17 17:32:28 GMT 2024","773","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Mon Jun 17 17:32:17 GMT 2024","Mon Jun 17 17:32:19 GMT 2024","1697","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Mon Jun 17 17:32:26 GMT 2024","Mon Jun 17 17:32:27 GMT 2024","895","CrossBrowser Test Suite","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Mon Jun 17 17:32:25 GMT 2024","Mon Jun 17 17:32:27 GMT 2024","1614","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Mon Jun 17 17:32:28 GMT 2024","Mon Jun 17 17:32:31 GMT 2024","3255","CrossBrowser Test Suite","ChromiumTest","com.luma.test.ProductPageTest","com.luma.test.ProductPageTest","testProduct","TC-02 Testing 1 Product","TC-02 Testing 1 Product"
"passed","Mon Jun 17 17:32:23 GMT 2024","Mon Jun 17 17:32:25 GMT 2024","1701","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Mon Jun 17 17:32:21 GMT 2024","Mon Jun 17 17:32:23 GMT 2024","1963","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Mon Jun 17 17:32:19 GMT 2024","Mon Jun 17 17:32:21 GMT 2024","1620","CrossBrowser Test Suite","ChromiumTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Mon Jun 17 17:32:19 GMT 2024","Mon Jun 17 17:32:21 GMT 2024","1953","CrossBrowser Test Suite","ChromeTest","com.luma.test.NavigationTest","com.luma.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
